idx_original,dbscan_anomalia,gmm_logprob,gmm_cluster,Class
231980,0,-2.7498835479636305,5,0
4673,0,-2.9056400666926905,4,0
106619,0,-8.42419108077532,3,0
91344,0,-6.568956659225269,6,0
21450,0,-2.030816789915301,0,0
273705,0,-2.7326431646962996,0,0
53316,0,-1.9911221455408548,4,0
198884,0,-3.6909064562557528,4,0
96841,0,-5.029020385592822,5,0
162321,0,-1.929529704398441,0,0
115071,0,-1.4965345180118208,0,0
79853,0,-4.059453132228225,1,0
169682,0,-3.409161075378587,5,0
219500,0,-5.727833254265286,3,0
25115,0,-1.8291672064371935,0,0
73226,0,-3.216046543247808,4,0
107037,0,-1.8675711129043207,0,0
255386,0,-4.506135650178092,5,0
167658,0,-2.233823615306724,0,0
210725,0,-2.2884016480477634,4,0
54622,0,-1.9029806904283497,0,0
84012,0,-2.2984604104263147,0,0
103323,0,-6.40576440700694,6,0
283209,0,-2.364901762406719,4,0
103126,0,-1.7533545361496117,4,0
112474,0,-3.1449703703829224,1,0
5125,0,-1.7541801275543345,4,0
281055,0,-5.212354190545788,3,0
134363,0,-4.870721680721133,3,0
144953,0,-1.848037692765302,0,0
139337,0,-1.7698998650978535,4,0
165826,0,-6.099631438904334,5,0
50464,0,-4.746154489139123,3,0
195855,0,-3.518514219476167,1,0
274132,0,-2.5483304177664556,0,0
254589,0,-2.052635588115595,0,0
10980,0,-1.9047557097073926,0,0
92581,0,-3.811174862829182,4,0
224823,0,-3.763869508286312,5,0
187167,0,-2.055662274753356,4,0
160624,0,-2.0621199960488594,0,0
249326,0,-3.95833838220558,4,0
268337,0,-2.683049972632674,4,0
225356,0,-1.6067719207144437,0,0
117456,0,-3.125415415467671,1,0
50241,0,-1.7597391854338398,0,0
247874,0,-5.648922098086625,1,0
252212,0,-3.5161355637717153,0,0
149558,0,-2.533425472674472,0,0
172565,0,-2.2507419586724158,0,0
221206,1,-10.971931264758503,2,0
126985,0,-2.4110110635965833,4,0
106100,0,-2.8629072368422723,1,0
70009,0,-2.8420604547656856,1,0
80841,0,-1.732783847733806,4,0
229962,0,-1.7605893963369743,4,0
256221,0,-2.486663706082301,4,0
45287,0,-2.0710147727540855,4,0
118558,0,-2.4290439345167605,0,0
171821,0,-2.084985240081626,0,0
135233,0,-2.2386794632987583,4,0
216825,0,-1.9591318875344257,0,0
73172,0,-5.1104484093361915,3,0
245966,0,-4.092031948387255,1,0
138260,0,-2.1122873783937504,0,0
92107,0,-5.257024822418352,3,0
140754,0,-1.877773514438973,4,0
166224,0,-3.1776218117219313,4,0
267870,0,-2.5034565418455723,0,0
168522,0,-3.277055223652869,5,0
111651,0,-1.8504136233922555,4,0
16318,0,-3.349993302729474,4,0
177981,0,-6.34614028617211,6,0
203312,0,-3.55135676249942,5,0
173959,0,-2.5045993984498285,4,0
117145,0,-1.772122376497266,0,0
257671,0,-2.6371634043809977,0,0
225631,0,-2.5622151038377914,0,0
42066,0,-2.3870959608891877,5,0
148375,0,-4.195499258562793,1,0
92861,0,-3.3985699459042085,4,0
269261,0,-5.0493750924888,3,0
219799,0,-1.9516574918481684,0,0
176564,0,-2.361837886239035,0,0
8295,0,-1.748830920677602,0,0
58371,0,-1.8846757252472561,4,0
144056,0,-3.319715268207705,1,0
112543,0,-2.6813850926344536,5,0
110324,0,-2.023668173326126,4,0
284172,0,-7.973004286016559,3,0
242165,0,-6.078331039687668,3,0
219763,0,-2.5512685133701973,4,0
201746,0,-3.5575960424100646,0,0
78112,0,-6.555475230944209,4,0
219233,0,-3.0871890568072446,5,0
58837,0,-3.115407348253285,4,0
48193,0,-2.161255586792053,0,0
32312,0,-3.5663362109824597,5,0
66706,0,-1.6982455741108873,0,0
137460,0,-2.2698859197631256,4,0
255508,0,-2.637053639638857,4,0
82297,0,-2.300900562377993,5,0
199925,0,-2.81116130900573,5,0
109294,0,-2.1203666441210607,0,0
84874,0,-1.665542856142725,0,0
235615,0,-3.936323519690105,5,0
62607,0,-2.830130522719167,0,0
54624,0,-2.869885933052922,0,0
178706,0,-1.873639130047902,4,0
69680,0,-1.5712371966252683,0,0
233184,0,-2.2956725048740236,0,0
113578,0,-2.894382034652123,0,0
78349,0,-2.1092631897329506,4,0
137544,0,-1.7614452294381289,4,0
42933,0,-3.170247388535694,5,0
47715,0,-3.786099584923858,5,0
123634,0,-6.732820529470684,4,0
232091,0,-7.548484927571048,6,0
198403,0,-2.691079045878112,0,0
258663,0,-4.775140084792538,3,0
143878,0,-3.1861267595769593,4,0
151073,0,-3.0737542966940747,4,0
242204,0,-2.1511627442658248,0,0
97505,0,-7.199941830883795,6,0
186338,0,-4.761477871555404,1,0
46422,0,-1.7453307029733285,4,0
81800,0,-1.8413058388434154,4,0
248704,0,-2.1657095138601132,0,0
264889,0,-2.4174197088294695,4,0
264764,0,-2.889752914923304,0,0
2697,0,-1.7582371863626178,4,0
95443,0,-3.5219683982373526,1,0
216576,0,-2.673897675816902,4,0
185991,0,-2.0270409174821222,0,0
12016,0,-1.896687486007506,0,0
113058,0,-2.7753354930002843,4,0
229622,0,-2.061049963570679,0,0
100688,0,-2.0935806218199686,0,0
94316,0,-6.264338900559856,6,0
73411,0,-3.2307397659640977,1,0
189866,0,-3.081416660747188,5,0
237333,0,-2.4559706400782617,5,0
155493,0,-3.698714466260372,0,0
91237,0,-1.8857379972836505,4,0
281685,0,-2.1520548712803564,4,0
73789,0,-2.1793278967441863,0,0
60540,0,-2.6000152236806424,5,0
137829,0,-2.812574150317653,0,0
167187,0,-3.2977682788925224,4,0
101778,0,-1.9983652374925038,0,0
113140,0,-3.195252807886066,1,0
142701,0,-6.42036135858312,6,0
171731,0,-4.271965611169852,1,0
168723,0,-2.8071280014828934,1,0
21508,0,-1.972889597158841,0,0
226049,0,-5.157975834500103,5,0
233162,0,-6.234522785486007,6,0
30331,0,-3.7448795424837846,4,0
197238,0,-3.0647457781469836,5,0
240522,0,-5.565066720752482,3,0
33977,0,-2.6055980793006275,4,0
5509,0,-2.0100869834623514,0,0
68808,0,-1.9582470467170947,4,0
61624,0,-1.9686342577604756,0,0
38976,0,-5.766395529197597,5,0
234977,0,-4.276823581198486,5,0
75333,0,-5.879682691726423,3,0
174214,0,-2.211330352620511,4,0
47250,0,-5.284796356878349,3,0
27171,0,-2.5413763292077634,4,0
150779,0,-3.3659527881674736,5,0
12614,0,-1.7699160782646888,4,0
199708,0,-2.735987528648706,4,0
104022,0,-3.481682006195007,1,0
157153,0,-5.35893476711534,3,0
93730,0,-1.9740928911027564,0,0
6904,0,-1.706182652978366,4,0
235724,0,-6.26381036173608,6,0
126793,0,-1.8505058170607827,0,0
40335,0,-2.356565926085876,0,0
225797,0,-5.860847013004175,3,0
23093,0,-2.2757152293777647,4,0
235230,0,-2.206964646545194,0,0
67019,0,-2.0033997885686055,0,0
138409,0,-2.126400345158411,4,0
155174,0,-5.044347347429483,3,0
205669,0,-3.4202613638047437,4,0
258183,0,-1.8237238750913924,4,0
74091,0,-2.2322445707596064,4,0
134389,0,-1.9335960085350865,0,0
119183,0,-2.5297844561266456,4,0
141724,0,-1.6194614497166857,0,0
146164,0,-2.1916409979994302,4,0
267712,0,-3.037721134432146,4,0
265063,0,-7.585702199328943,6,0
264561,0,-4.153177125937171,5,0
226794,0,-2.5446523083251607,4,0
159905,0,-2.2447948811255394,0,0
42854,0,-4.369021618946367,5,0
54089,0,-4.769524769502841,5,0
70212,0,-2.471765277107312,0,0
256155,0,-8.145569394373805,3,0
165571,0,-2.354256767973833,4,0
190433,0,-2.1648081272883513,4,0
284045,0,-3.437990542153557,0,0
158956,0,-2.597979490424394,0,0
281496,0,-2.0163694554209255,0,0
201337,0,-1.8053279993401903,4,0
102735,0,-2.952918899899442,1,0
141856,0,-1.7367304888351756,0,0
30890,0,-2.0953496210652185,0,0
77918,0,-2.068372805647798,0,0
182353,0,-1.9186625259074503,0,0
190890,0,-3.2781995345084924,4,0
136703,0,-1.918367783203622,0,0
134927,0,-3.429845997594029,4,0
195571,0,-4.861661940789491,5,0
237942,0,-2.571422658192799,0,0
196605,0,-4.638121376426118,1,0
96592,0,-2.307130421486964,0,0
22440,0,-5.125689418286733,1,0
98449,0,-1.751450450287352,4,0
191005,0,-3.3085563567110263,0,0
134774,0,-3.7010862601490464,1,0
517,0,-3.0428909085052314,4,0
5361,0,-1.8558512659440156,4,0
96168,0,-3.293333690120858,5,0
246937,0,-3.0885765473197657,5,0
100826,0,-1.912279402600634,0,0
32764,0,-4.511081832688139,3,0
158149,0,-2.410145883726212,4,0
156374,1,-7.5386201506536805,6,0
82947,0,-1.795900454003719,4,0
5603,0,-1.8326159579582944,0,0
259328,0,-2.896823804774379,4,0
229975,0,-6.20407281750376,5,0
124525,0,-2.433592632883788,0,0
156689,0,-2.7192446274210083,0,0
255914,0,-2.8927813200834995,4,0
137597,0,-2.6090669750014897,5,0
127466,0,-2.048891020949587,0,0
