idx_original,Class,prediccion_fraude,probabilidad_fraude
0,0,0,0.00011560114281796079
1,0,0,0.18914759587317298
2,0,1,0.9993006119231352
3,0,1,0.6459373349604712
4,0,0,0.00028318505513629953
5,0,0,0.18245703904574548
6,0,0,0.03625250080067006
7,0,1,0.652137081901695
8,0,0,0.04357829740601782
9,0,0,0.050885384575707515
10,0,0,0.013539341519843606
11,0,0,0.15034233138474282
12,0,0,0.0013540713705359675
13,0,1,0.8813128644582008
14,0,0,0.0001853761440303015
15,0,0,0.40864313519369994
16,0,0,0.04582664842620382
17,0,0,0.014848357091104873
18,0,0,0.0753087696804453
19,0,0,0.11894021614135858
20,0,0,0.04186567204297119
21,0,0,0.07818502928206936
22,0,0,0.046896928643514364
23,0,0,0.13392913053748878
24,0,0,0.04961194958712527
25,0,0,0.0015630301539784122
26,0,0,0.02902984668714638
27,0,1,0.7263878144813436
28,0,1,0.5367158411485636
29,0,0,0.00019287455357342055
30,0,0,0.029997908932080073
31,0,0,0.30614218550173034
32,0,1,0.5612627641929836
33,0,0,0.003029790940725888
34,0,0,0.11640273155828948
35,0,0,0.00029646950341813254
36,0,0,0.048802166172604015
37,0,1,0.6685488494333958
38,0,0,0.0009730203281859603
39,0,0,0.08197562556682587
40,0,0,0.05026648842885557
41,0,1,0.6724817447008473
42,0,0,0.13014260292734486
43,0,0,0.029337690380589494
44,0,0,0.016068457784686456
45,0,0,0.03814507314043874
46,0,0,0.1178386192602925
47,0,0,0.490599638479005
48,0,0,0.1252088941287635
49,0,0,0.06495973160757569
50,0,1,0.9229380136308
51,0,0,0.14371448516025914
52,0,0,0.0009477694418869573
53,0,0,0.008801699311079764
54,0,0,0.021971548012116256
55,0,0,0.031415195655592906
56,0,0,0.1298215288014414
57,0,0,0.055792246923929624
58,0,0,0.0925041104653908
59,0,0,0.04638724184662646
60,0,0,0.0781179381247781
61,0,0,0.053484958063155605
62,0,1,0.6926537179843207
63,0,0,0.008344466509349353
64,0,0,0.05526615934136493
65,0,1,0.7437411249965287
66,0,0,0.03930640456704658
67,0,0,0.38928099097273783
68,0,0,0.0007643125243878058
69,0,0,0.0016823125021983665
70,0,0,0.05839906992817345
71,0,0,0.47799958569285245
72,0,1,0.5732684207352943
73,0,0,0.000622729816793648
74,0,0,0.16540058459550736
75,0,0,0.03302838134427419
76,0,0,0.14289589755710388
77,0,0,0.12553920112460473
78,0,0,5.3932254556726173e-05
79,0,0,0.16684987958236971
80,0,0,0.4922324129698114
81,0,1,0.6935908155099191
82,0,0,0.03523259436456677
83,0,0,0.0005676644264122183
84,0,0,0.02754622472907419
85,0,0,0.03807499422186492
86,0,0,0.024199804308918944
87,0,0,0.00028346083518351797
88,0,0,0.07780026728577094
89,0,1,0.9982021026155432
90,0,1,0.9020772735469467
91,0,0,0.126891680422305
92,0,1,0.5112784232758583
93,0,1,0.9962226374701108
94,0,0,0.0008875398454543058
95,0,0,0.2617284829928926
96,0,0,0.05420584455822797
97,0,0,0.0028961726660565435
98,0,0,0.0001407901714498471
99,0,0,0.08642058477554086
100,0,0,0.12010077201280116
101,0,0,0.0003714607463874694
102,0,0,0.0009187501304999405
103,0,0,0.05611391400518717
104,0,0,0.03246024420119501
105,0,0,0.006736072212881798
106,0,0,0.0015174715526512714
107,0,0,0.21235790214665157
108,0,0,0.03901363163483334
109,0,0,0.019487261290073693
110,0,0,0.09315057457498108
111,0,0,0.22924600172042767
112,0,0,0.06322586065318116
113,0,0,0.031823723635081284
114,0,0,0.0008105406615072138
115,0,0,0.003569997629205123
116,0,1,0.9991084929273752
